|Unnamed: 0|Unnamed: 0.1|id|type|date|abstract|title|kind|num_claims|withdrawn|aia
6300|2339803|2777429|6282426|utility|2001-08-28| Apparatus, and an associated method, for determining the geographical positioning of a wireless communication station when the wireless communication station is operated in a non-ideal propagation environment. Errors introduced by NLOS conditions in a determination of a position of the wireless communication station calculated by way of a trilateration technique are corrected. If too few signals are received at the wireless communication station to permit a determination of its position using a ray tracing pattern recognition technique, an estimate of the position of the wireless communication station is also determinable. When implemented in a cellular communication system, accurate position determinations are made even when the mobile station is operated in a non-ideal propagation environment, such as an urban area. |Method, and associated apparatus, for determining geographic positioning of a wireless communication station operable in a non-ideal propagation environment|A|20|0.0|0
2131|3630162|4067788|7577970|utility|2009-08-18|In accordance with the present invention, a filtering process is based on the output side of a multimedia decoder. A navigator monitors the current play position of the multimedia content and compares that position with navigation objects. Each navigation object defines a start position, a stop position, and an filtering action to perform on the portion of the multimedia content that begins at the start position and ends at the stop position. When the current play position falls within the portion of multimedia content defined by a particular navigation object, the navigator activates the filtering action that was assigned to the navigation object. Filtering actions include skipping, muting, reframing, etc., the portion of multimedia content defined by a navigation object. A variety of systems may be used to implement the present invention, such as computer systems (consumer and server), television systems, and audio systems.|Multimedia content navigation and playback|B2|43|0.0|1
10860|122667|122667|10123577|utility|2018-11-13|A nursing cover for a user, the nursing cover including a closed loop band having a front portion and a top opening through which the user is allowed to penetrate and a plurality of flexible boning supports disposed on the front portion. The plurality of flexible boning supports provides structural integrity while the user nurses an infant underneath the front portion to prevent the nursing cover from interfering with the infant being nursed by the user, to allow better circulation of airflow for the infant underneath the nursing cover and to provide a better line of sight for the nursing mother to view her infant underneath the nursing cover.|Nursing cover and infinity scarf|B2|8||0
4284|5102962|6910071|D676798|design|2013-02-26||C6 standard waterfall console extension|S1|1|0.0|0
10841|253819|6421518|9944635|utility|2018-04-17|This invention in one embodiment is directed to a compound of Formula Ia;where the designation (R) indicates that the designated carbon has the (R) stereochemistry; and wherein Z1 is hydrogen or fluorine; Z2 is hydrogen, deuterium, or fluorine; Z3 is deuterium; Z4 is fluorine; m is an integer from 0 to 10; n is an integer from 0 to 2; provided that: the sum of m+n does not exceed 10; and when both Z1 and Z2 are hydrogen, the sum of m+n is greater than 0, and pharmaceutically acceptable salts thereof. This invention also provides compositions comprising one or more compounds of this invention and a carrier and the use of the disclosed compounds and compositions in methods of treating diseases and conditions that are beneficially treated by administering an antihelminthic agent, such as praziquantel.|Deuterated pyrazino[2,1-a]isoquinoline compounds and methods of treatment using the same|B2|19|0.0|0
5576|1380088|1817714|5313514|utility|1994-05-17| In a land mobile radio telephone apparatus, a microphone unit for inputting speeches to be transmitted in incorporated in a plug that can be connected to a cigar lighter socket provided near a driver's seat in a vehicle, and the plug with the microphone unit built therein is connected to a radio telephone apparatus body via cables for supplying power from a power source and a cable for inputting the speech voices. A speaker unit is built in the radio telephone apparatus body. An end portion of a casing of the plug is formed into a tubular shape, and the microphone having a directivity is incorporated in the tubular end portion in such a manner that it can be semi-fixed. Directivity of the microphone is thus directed toward the driver. The microphone unit has a directivity adjusting mechanism, and is supported by supporting member having a vibration-proof effect. Furthermore, a noise removing circuit is provided between the microphone unit and a circuit unit for suppressing sound coupling between the microphone unit and the speaker unit. |Hands free apparatus for land mobile radio telephone|A|6|0.0|0
6130|172761|610387|4103194|utility|1978-07-25| A voltage generator comprising a first and a second mechanical system which systems are arranged for relative rotation to one another by means of a shaft incorporated in the first system being supported in bearings mounted in the second system, the shaft of the first system carrying an off-axis biassing weight of sufficient magnitude to restrain by gravitational force the first system from rotation when the shaft is horizontally orientated and the second system is rotated about an axis coincident with the shaft axis, a permanent magnet forming part of one of the systems and an armature winding being carried by the other whereby rotation of the second system about the first causes voltages to be induced in the armature winding. |Voltage generators|A|5|0.0|0
8934|171545|5278614|8794185|utility|2014-08-05|The present invention is directed to a method of treating poultry hatchlings in a hatchling tray. The method comprises of providing a soft gel form capable of being dispensed through a spray nozzle, providing a spray dispensing apparatus, the apparatus being capable of delivering a predetermined volume of the gel as a plurality of small beadlets through a plurality of nozzles, placing the hatchling tray containing the hatchlings beneath the nozzles of the dispensing apparatus, dispensing the predetermined volume of the soft gel containing the therapeutic agent as small beadlets into the hatchling tray and allowing the hatchlings to consume the beadlets. The pre sent invention is also directed to a dispensing apparatus for dispensing a therapeutic agent in a soft gel into a hatchling tray of poultry hatchlings.|Soft gel delivery system for treating poultry|B2|15|0.0|1
9386|1055293|6162362|9683686|utility|2017-06-20|An apparatus having one or more filters positioned by a connection member. The connection member orientates one or more filters at a transverse angle relative to the horizontal to drain contaminants from the filter.|Auto-draining filter apparatus|B2|18|0.0|0
4630|722204|1159830|4653343|utility|1987-03-31| This programmer comprises programme-cams corresponding to a plurality of programmes having clearly separate starting points disposed at angular intervals from one another. It further comprises a control element adapted to be rotated manually for selecting the initial position of one of the programmes. This element comprises lateral pins adapted to engage corresponding orifices formed in a coaxial registering control cam. On the opposite side of this cam a disc rigid with the programme-cams is provided; this disc is rigid with the programme-cams but spaced therefrom. The disc comprises ramp means cooperating with bearing faces formed in the control cam. Spring means interconnect the disc and the control cam in diagonal directions. The ramp means and their bearing faces are so oriented that when the control element is driven manually in the forward direction the control cam rotatably driven by the pins is shifted axially away from the manual control element by the ramp means with the assistance of spring means until the beak of an arm is actuated for controlling a switch adapted to control the fast rotation of the disc. When the disc is thus driven automatically for step by step rotation at a fast rate its ramp means cause the control cam to be shifted towards the control element, the pins engaging again the corresponding orifices until the beak is actuated again, the switch being thus actuated for stopping the fast rotation of the disc and programme-cams for ending the programme selection. |Programmer|A|6|0.0|0
5476|1601682|2039308|5537086|utility|1996-07-16| A driver device for a reed switch includes a reed switch including first and second reed pieces; a first magnet for magnetizing the first reed piece so as to have a specific magnetic polarity; a rotary member located close to the second reed piece; a second magnet, fixed to the rotary member, having different magnetic poles arranged in the circumferential direction, the second reed piece being located to face the second magnet. |Driver device for reed switch and structure of mounting reed switch|A|14|0.0|0
9997|15812|5122881|8637636|utility|2014-01-28|Methods, apparatus, systems, computer programs and computing devices related to biologically assembling and/or synthesizing peptides and/or proteins are disclosed.|Peptide synthesis apparatuses|B2|29|0.0|0
7059|1281360|1718986|5214140|utility|1993-05-25| Bichromophoric methine and azamethine transfer dyes have the formula EQU Z.sup.2 --Z.sup.1 --LY.sup.1 --Y.sup.2 where PA1 L is a bridge member which does not permit any conjugation of .pi.-electrons between Z.sup.1 and Y.sup.1, PA1 Y.sup.1 and Z.sup.1 are each independently of the other aminophenylene, which may be benzofused, or heterocyclyl and PA1 Y.sup.2 and Z.sup.2 are each independently of the other benzoquinoneiminyl, which may be benzofused, or heterocyclyl. |Bichromophoric methine and azamethine dyes and process for transferring them|A|7|0.0|0
6249|4921241|6728350|D494908|design|2004-08-24||Surface configuration of a dashboard for a vehicle|S1|1|0.0|0
10145|651147|5758216|9276840|utility|2016-03-01|A network device can process a payload in an Interest packet. During operation, the network device can receive an Interest packet that includes a name or a name prefix associated with one or more target entities for the Interest. If the network device determines that the Interest packet includes a payload, the network node can analyze the Interest's name and/or payload to determine an operation to perform for processing the payload. The network device then proceeds to process the payload by performing the determined operation.|Interest messages with a payload for a named data network|B2|21|0.0|0
9778|1332149|7037095|D803913|design|2017-11-28||Bending die set, composed of a bend die post and wiper die post, for a rotary draw bending machine|S1|1|0.0|0
1995|2411615|2849241|6354479|utility|2002-03-12|Dissipative ceramic bonding tips for wire bonding electrical connections to bonding pads on integrated circuits chips and packages are disclosed. In accordance with the principles of the present invention, to avoid damaging delicate electronic devices by any electrostatic discharge, an ultrasonic bonding wedge tool tip must conduct electricity at a rate sufficient to prevent charge buildup, but not at so high a rate as to overload the device being bonded. For best results, a resistance in the tip assembly itself should range from 105 to 1012 ohms. In addition, the wedges must also have specific mechanical properties to function satisfactorily.|Dissipative ceramic bonding tip|B1|51|0.0|1
1668|2768727|3206353|6712827|utility|2004-03-30|A stent delivery system to facilitate introduction and placement of a stent, including a catheter having an expandable distal portion constructed and arranged for expanding the outer diameter of the catheter from a contracted state to an expanded state: a stent positioned around the distal portion of the catheter having a contracted condition and being expandable to an expanded condition, and being sized in the contracted condition to closely surround the catheter in the contracted state, the expandable distal portion of the catheter including a balloon within which there is included on the catheter shaft at least one body of a diameter larger than the catheter shaft to which the stent and balloon are fitted, as by crimping, for holding the stent in place until it is released therefrom by expansion of the balloon.|Stent delivery system|B2|20|0.0|1
134|3098080|3535706|7043433|utility|2006-05-09|Embodiments of the present invention provide method and apparatus for determining audience affinity and/or aptitude in portions of media works and for developing information that represent measures of the audience affinity and/or aptitude. Further embodiments of present invention provide method and apparatus for utilizing the information to create altered media works and/or to present the altered media works to an audience. One embodiment of the present invention is a method for inferring audience affinity or aptitude with regard to content or properties of portions of a media work which includes: (a) presenting the media work to an audience; (b) obtaining user input regarding presentation rates for the portions of the media work; (c) correlating content or properties of the portion with the presentation rates; and; (d) associating audience affinity or aptitude with the correlated content or properties.|Method and apparatus to determine and use audience affinity and aptitude|B2|11|0.0|1
7870|194945|5302014|8817718|utility|2014-08-26|A user equipment locally stores a shift pattern that is specific to a cell to which the user equipment is currently attached, and processes a group of modulation symbols or bits for uplink transmission by a) cyclically shifting the modulation symbols or bits within the group according to the stored cell-specific shift pattern, and b) applying a spreading code to the group of symbols or bits. Different embodiments include spatial shifting and frequency bin shifting.|Randomization of block spread signals|B2|20|0.0|1
4104|2945871|3383497|6890667|utility|2005-05-10|A magnetic recording medium having a soft magnetic underlayer structure that includes two soft underlayers is presented. A thick first soft underlayer, disposed on the medium substrate, is made of material which provides a low magnitude of magnetization saturation (Bsat) and high permeability. The first soft underlayer can be formed by plating or high-rate sputtering. The second soft underlayer, which has a lesser thickness than the first soft underlayer, is made of a material which provides a relatively high magnitude of Bsat and low permeability. The second soft underlayer can be formed by low-rate sputtering. The first soft under layer can be isolated from other layers in the medium by an exchange isolation layer. The second soft underlayer can be exchange coupled to a radial exchange pin layer disposed on the exchange isolation layer.|Soft underlayer structure for magnetic recording|B1|30|0.0|0
7277|393483|831109|4324204|utility|1982-04-13| A safety restraint for securing a dog to the seat of an automotive vehicle includes a one-piece harness having opposing tabs secured to each other by releasable adhesive strips at the chest and beneath the shoulders and flanks of the animal, and permitting freedom of movement but providing a shock distributing shell about the body length of the animal. A pair of rings coupled to the side of the harness in the region of the shoulder and flank of the animal are releaseably coupled to clips mounted on a pair of belts secured about the back of the seat. The clips are individually slidable in upward and downward directions along the lengths of the belts by separate straps which receive the clips and extend along portions of the length of the belts. This permits the animal to stand, sit or lie on the seat while at the same time limiting sideward or forward motion of the animal in the event of a sudden stop or collision. Shocks are partially absorbed within the belt and harness structure, and forces that are not absorbed are uniformly distributed in such manner that there is no injury to the spinal column or localized tightening or restraint. |Animal safety restraint for vehicles|A|7|0.0|0
10684|268114|6435813|9959023|utility|2018-05-01|A method for profile matching includes receiving a plurality of user profiles, each user profile comprising traits of a respective user. The method includes receiving a preference indication for a first user profile of the plurality of user profiles. The method also includes determining a potential match user profile of the plurality of user profiles based on the preference indication for the first user profile. The method also includes presenting the potential match user profile to a second user.|Matching process system and method|B2|6|0.0|1
5892|210038|647664|4140502|utility|1979-02-20| This invention relates to filtering separators in particular pocket or tube filters, of the kind having a lower inlet for dirty, i.e. dust-or smoke-laden gas containing extremely adherent dust particles which is directed upwards towards the filter elements, the dust which settles when the filter surfaces are cleaned periodically being carried back to the filter surfaces by this dirty gas for agglomeration purposes and a proportion of the agglomerated dust which corresponds to the quantity of dust in the incoming dirty gas and which the said gas is not capable of carrying with it to the filter surface being extracted during the periodic cleaning of the filter elements. |Filtering separators with dust feedback|A|8|0.0|0
9423|897644|6004713|9524939|utility|2016-12-20|Provided is an alignment mark having a plurality of sub-resolution elements. The sub-resolution elements each have a dimension that is less than a minimum resolution that can be detected by an alignment signal used in an alignment process. Also provided is a semiconductor wafer having first, second, and third patterns formed thereon. The first and second patterns extend in a first direction, and the third pattern extend in a second direction perpendicular to the first direction. The second pattern is separated from the first pattern by a first distance measured in the second direction. The third pattern is separated from the first pattern by a second distance measured in the first direction. The third pattern is separated from the second pattern by a third distance measured in the first direction. The first distance is approximately equal to the third distance. The second distance is less than twice the first distance.|Multiple edge enabled patterning|B2|20|0.0|0
1999|2239730|2677356|6182078|utility|2001-01-30| A system is provided to deliver professional services over the Internet. The system includes a computer, a database of client reminders, and software for automatically querying the database by values attributed to date fields to select reminders. The software also automatically generates a form based on the retrieved client reminder and transmits it to the client over the Internet. The system may include or comprise a web site. |System for delivering professional services over the internet|A|11|0.0|1
7183|237949|675575|4168461|utility|1979-09-18| A voltage regulator to provide a wide range of regulation, especially useful with process control. The regulator is provided with an extra bushing connected to the exciting winding of the regulator. By this means two or more regulators may be connected with their exciting windings in parallel and their series windings in series to provide a desired wide range of regulation. The invention also encompasses a selector switch so that the regulator operating at the top of the regulating range may be interchanged with one or more other regulators to alternate the tap-changing duty among the various regulators. Automatic operation of the regulators is disclosed. |Voltage regulator providing wide range of voltage regulation|A|3|0.0|0
9443|1009311|6116380|9637349|utility|2017-05-02|An example elevator brake includes a first braking member that is biased by a first spring member into engagement with a braking surface. The first braking member includes a first armature arranged to be actuated by an electromagnetic actuator to disengage the first braking member from the braking surface against the biasing force of the first spring member. A second braking member is biased by a second spring member into engagement with a braking surface. The second braking member includes a second armature arranged to be actuated by an electromagnetic actuator to disengage the second braking member against the biasing force of the second spring member. A first electromagnetic actuator actuates the first armature and a second electromagnetic actuator actuates the second armature.|Elevator brake including coaxially aligned first and second brake members|B2|17|0.0|0
3981|1581045|2018671|5516254|utility|1996-05-14| The present invention refers to a supplementary unit for a travelling fork lift truck used for picking up platelike mounting elements. The platelike mounting elements are picked up by a pick-up means of the supplementary unit, said pick-up means being secured to a frame via a carrier arm and a guide rod. The frame is adapted to be lifted by the forks of the fork lift truck. When the carrier arm is pivoted through an angle of 90.degree., the pick-up means, which is guided by the guide rod, will be turned through an angle of 180.degree.. The pivoting movement of the carrier arm is carried out by a hydraulic lifting cylinder. |Supplementary unit for fork lift trucks|A|12|0.0|0
10424|1186655|6293724|9815970|utility|2017-11-14|A high chroma effect pigment includes a platelet substrate and an optical coating formed on the platelet substrate. The optical coating includes a first high refractive index layer, a second high refractive index layer on the first high refractive index layer, and a diffused third material having a range of diffusion between 100% to partial diffusion in the first high refractive index layer, the second high refractive index layer, or both the first and the second high refractive index layers. The first and second high refractive index layers independently have a refractive index of about >1.65. The diffused third material is SiO2 or a metal oxide is different than the first and second high refractive index layers.|Effect pigments|B2|26|0.0|0
2751|3022785|3460411|6967861|utility|2005-11-22|A method for implementing a self-timed, read to write operation in a memory storage device. In an exemplary embodiment, the method includes capturing a read address during a first half of a current clock cycle, and commencing a read operation so as to read data corresponding to the captured read address onto a pair of bit lines. A write operation is commenced for the current clock cycle so as to cause write data to appear on the pair of bit lines as soon as the read data from the captured read address is amplified by a sense amplifier, wherein the write operation uses a previous write address captured during a preceding clock cycle. A current write address is captured during a second half of the current clock cycle, said current write address used for a write operation implemented during a subsequent clock cycle, wherein the write operation for the current clock cycle is timed independent of the current write address captured during said second half of the current clock cycle.|Method and apparatus for improving cycle time in a quad data rate SRAM device|B2|34|0.0|1
9868|863328|5970397|9490420|utility|2016-11-08|Thermally stable piezoelectric polymer foams (ferroelectrets) with high piezoelectric activity for sensing and actuation. The invention further includes a method of fabricating such foams in an environmentally friendly manner.|Polymer foam-based piezoelectric materials and method of manufacture|B2|5|0.0|0
1269|3282876|3720502|7228971|utility|2007-06-12|A vibratory screening machine having opposite sides with a plurality of stationary aligned tensioning members mounted on one side and a plurality of nut actuated movable tensioning members mounted on the opposite side and a vibratory screening screen mounted on the stationary and movable tensioning members. The tensioning members have upstanding fingers which are received in apertures in the plates of the vibratory screen, and the edge portions of the vibratory screen include screening material which extends all of the way to the extreme edges of the supporting plate and the fingers are below the screening material. Also, the tensioning structure is mounted on the side walls of the vibratory screening machine below the vibratory screen.|Vibratory screening machine and vibratory screen and screen tensioning structure|B2|6|0.0|1
6773|1279600|1717226|5212376|utility|1993-05-18| An image scanner includes a light source which illuminates a document being scanned, a reflex mirror set receiving a first light signal which results from light rays that are reflected by the document and a lens barrel which has an imaging lens arranged therein and which receives the first light signal from the reflex mirror set. A flexible optical transmission element has an input end provided in close proximity with the light source so as to receive a second light signal therefrom. A line image sensor is disposed adjacent to the lens barrel and receives the first light signal from the reflex mirror set and the second light signal from the optical transmission element. The line image sensor generates an image scan signal which corresponds to the first light signal and a brightness reference signal which corresponds to the second light signal. A signal compensation circuit receives the image scan signal and the brightness reference signal from the line image sensor. The signal compensation circuit processes and amplifies the image scan signal in accordance with the magnitude of the brightness reference signal, thereby compensating the image scan signal for instability in the brightness of light from the light source. |Image scanner with automatic signal compensation using sampled reference light|A|7|0.0|0
10720|340621|7142975|RE46700|reissue|2018-02-06|Z-filter media pack arrangements and methods for providing them are described. The preferred arrangements have a cured-in-place jacket around an outside of a coiled z-filter media combination. The preferred cured-in-place jacket is a mold-in-place overmold which includes, integral therein, a housing seal arrangement. Preferably a cured-in-place center core is used, most preferably one that has opposite concave ends with seal arrangements configured to seal a lead end portion of the coiled z-filter media combination.|Z-filter media pack arrangement; and, methods|E1|91|0.0|1
8894|812381|5919450|9439126|utility|2016-09-06|A system and method for providing wireless network communications between a plurality of remote devices and a site controller are provided. Each network and the site controller communicates using a communications protocol adapted to allow remote devices and the site controller to independently control the communication path for transmissions sent by each device. In some embodiments, remote devices can collect and store information about other remote devices and available communication paths for optimum data transmission. Also, in some embodiments, remote devices can quickly join a preexisting network by communicating with a site controller and/or other remote devices. Other embodiments are also claimed and described.|Wireless network protocol system and methods|B2|14|0.0|1
6978|2681101|3118727|6624951|utility|2003-09-23|An objective lens system for optical pickups performing at least one of reading and writing of information by condensing a luminous flux from a light source on an information recording medium, has the following two lens elements from a light source side: a first lens element having a first surface convex to the light source side and a second surface convex to the light source side; and a second lens element having a third surface convex to the light source side and a plane fourth surface, wherein the first surface is an aspherical surface.|Objective lens system for optical pickups|B2|8|0.0|0
9677|931217|6038286|9558699|utility|2017-01-31|A lateral electric field type liquid crystal display includes: an array substrate that includes: a plurality of signal lines and a plurality of scan lines arranged in a matrix to form pixel areas; and a common electrode formed to face pixel electrodes with interposing an insulating film; a counter substrate that faces the array substrate; and a liquid crystal material that is interposed between the array substrate and the counter substrate, wherein the liquid crystal material responds to an electric field parallel to a surface of the array substrate, and wherein in a vertical blanking period, which is a blanking period of a vertical period for sequentially applying scan signals to all of the scan lines, a common electrode potential is changed so that a potential difference between the common electrode potential and the pixel electrode potential becomes smaller than that before the vertical blanking period.|Liquid crystal display and driving method of the same|B2|8|0.0|0
8023|19831|5126900|8641681|utility|2014-02-04|Disclosed herein are disinfecting caps that can be used to cover and disinfect a male luer post of a medical connector when not in use or when disconnected from its female connector counterpart. The caps are configured to engage threads of the connector. The caps contain a disinfecting agent disposed in a chamber of the cap.|Disinfecting caps for medical male luer connectors|B2|22|0.0|1
7574|2620075|3057701|6563735|utility|2003-05-13|A NOR-structured semiconductor memory device with a novel configuration of bit line connection is disclosed. The NOR-structured semiconductor memory device comprises a semiconductor memory cell array electrically connected to a plurality of bit lines. The plurality of bit lines are divided into at least four bit line groups. At least two bit lines of each bit line group are coupled to a main bit line through at least two bit line transistors, respectively. Furthermore, the bit lines of the NOR-structured semiconductor memory device are arranged in such a way that at least four adjacent bit lines thereof are selected from four different bit line groups and coupled to four different main bit lines, respectively. During a programming or data reading operation, two adjacent bit lines of the four adjacent bit lines are supplied with a programming voltage or sense current while the other two adjacent bit lines are grounded. Therefore, the NOR-structured semiconductor memory device successfully prevents the programming disturbance or correctly determines the data stored in memory cells at a high speed because no leakage current path is formed.|NOR-structured semiconductor memory device|B1|7|0.0|0
9373|1142807|6249876|9771809|utility|2017-09-26|The present invention relates to an impingement cooling mechanism that ejects a cooling gas toward a cooling target (2) from a plurality of impingement holes (3b) formed in a facing member (3) that is disposed facing the cooling target (2). Blocking members (5) that block a crossflow (CF), which is a flow formed by the cooling gas after being ejected from the impingement holes (3b), are installed on at least the upstream side of the crossflow (CF) with respect to at least a portion of the impingement holes (3b). Turbulent flow promoting portions (6) are provided in the flow path (R) of the crossflow (CF) regulated by the blocking members (5).|Impingement cooling mechanism, turbine blade and combustor|B2|9|0.0|0
3134|2599079|3036705|6542673|utility|2003-04-01|A device and system for eliminating repeated testing of optical components while manufacturing an optical assembly can include a high-performance optical component having a machine-readable identifier disposed within the peripheral area of its end face. The machine-readable identifier can be etched into the end face and can provide information about the component, such as any one of the following optical characteristics: orientation, manufacturing information, and dimensions and compositions of the materials of the optical component. The optical component can also have a plurality of machine-readable identifiers disposed within the peripheral area of its end face, where each can provide different information. Optical components can then be automatically and precisely aligned before being mated to form an optical assembly. A determination of the optical characteristics, information, and alignment of the components can be possible even after the components are mated together.|Identifier system and components for optical assemblies|B1|34|0.0|1
9011|1083882|6190951|9712476|utility|2017-07-18|A communication network encrypts a first portion of a transaction associated with point-to-point communications using a point-to-point encryption key. A second portion of the transaction associated with end-to-end communications is encrypted using an end-to-end encryption key.|Secure end-to-end transport through intermediary nodes|B2|44|0.0|1
4713|2366136|2803762|6308835|utility|2001-10-30| This invention is a moving table for separating valuable heavy particles from an orebearing slurry of heavy consistency. The system uses reversing polarity as well as lateral oscillation. It also uses at least two tables to provide multiple stages of progression. |Continuous self-cleaning sluice|A|25|0.0|0
2958|3692153|4129779|7640178|utility|2009-12-29|The present invention relates to a system and method for selecting and reserving seats using a touch screen device. The system or method transmits first data to an application running on a personal computing device, the first data including information descriptive of available individual seats at the venue, the first data processed by the application to generate a graphical user interface on the personal computing device that comprises an interactive seating map representing individual seats at the venue. The system or method also receives from the personal computing device second data representing one or more seats selected by a touch screen input. In addition, the system or method receives over the network from the personal computing device third data representing payment information.|System and method for selecting and reserving seats using a touch screen device|B2|20|0.0|1
1136|3634795|4072421|7582621|utility|2009-09-01|This invention relates to compounds useful for treating fungal infections, more specifically topical treatment of onychomycosis and/or cutaneous fungal infections. This invention is directed to compounds that are active against fungi and have properties that allow the compound, when placed in contact with a patient, to reach the particular part of the skin, nail, hair, claw or hoof infected by the fungus. In particular the present compounds have physiochemical properties that facilitate penetration of the nail plate.|Boron-containing small molecules|B2|12|0.0|1
10899|339644|7117309|PP29108|plant|2018-03-13|A new garden type Chrysanthemum plant named ‘CIFZ0046’ particularly distinguished by the small (1.5 inch) orange two-tone decorative inflorescence, a medium sized plant with round mound habit and a natural season response in early October.|Chrysanthemum plant named ‘CIFZ0046’|P2|1|0.0|0
9462|1290108|6995054|D761834|design|2016-07-19||Display screen with graphical user interface|S1|1|0.0|0
8680|585924|5692993|9211253|utility|2015-12-15|Drug products adapted for nasal delivery, comprising a pre-primed device filled with a pharmaceutical composition comprising an opioid receptor antagonist, are provided. Methods of treating opioid overdose or its symptoms with the inventive drug products are also provided.|Nasal drug products and methods of their use|B2|29|0.0|1
871|4037865|4475491|7987274|utility|2011-07-26|A technique is disclosed for establishing a secure communication link between a first computer and a second computer over a computer network. Initially, a secure communication mode of communication is enabled at a first computer without a user entering any cryptographic information for establishing the secure communication mode of communication. Then, a secure communication link is established between the first computer and a second computer over a computer network based on the enabled secure communication mode of communication. The secure communication link is a virtual private network communication link over the computer network in which one or more data values that vary according to a pseudo-random sequence are inserted into each data packet.|Method for establishing secure communication link between computers of virtual private network|B2|18|0.0|1
3896|2841668|3279294|6786062|utility|2004-09-07|A beverage coaster for cooling a beverage is disclosed. The beverage coaster includes a base having the approximate size of a standard beverage can. The base includes a top wall having a radial curve contoured to engage a bottom portion of the beverage can. At least one side wall is connected to the bottom wall and to the top wall, and the height of the side wall is less than the width of the base. A predetermined amount of cooling material is disposed between the top wall and the bottom wall.|Beverage cooling device|B1|6|0.0|0
707|4513301|4950927|8464767|utility|2013-06-18|A shredder includes a housing having a throat for receiving at least one article to be shredded, and a shredder mechanism having a motor and cutter elements. The shredder also includes a detector that is configured to detect a thickness of the at least one article being received by the throat, and a controller that is configured to operate the motor to drive the cutter elements to shred the at least one article and to set a flutter threshold higher than the predetermined maximum thickness threshold, if the detected thickness is less than a predetermined maximum thickness threshold. The controller is also configured to thereafter continuously detect the thickness of the at least one article being inserted into a throat of the shredder; and to perform a predetermined operation responsive to the thickness detector detecting that the thickness of the at least one article is greater than the flutter threshold.|Shredder thickness with anti-jitter feature|B2|45|0.0|1
3828|4138528|4576154|8088333|utility|2012-01-03|An apparatus for sensing at least one analyte in a gas. The apparatus includes a thermoelectric sensor having a layer of at least one analyte interactant that increases or decreases in temperature and at least one thermopile having a first contact pad and a second contact pad, wherein the analyte contacts the interactant and produces or consumes heat, which is transmitted to the thermopile, produces a voltage difference and measures the analyte.|Thermoelectric sensor for analytes in a gas|B2|29|0.0|0
3894|566925|1004551|4497913|utility|1985-02-05| A stable dispersion of a polymer in a polyol is prepared by reacting an organic polyisocyanate with a short-chain polyol in a high molecular weight polyol containing a relatively high primary hydroxyl group content, the ratio of the content of primary hydroxyl groups in the short-chain polyol to that in the high molecular weight polyol being at least a critical lower limit of about 3.5. The reaction is further carried out in the presence of a small proportion of water to achieve a reduction in the viscosity of the resulting dispersion. The dispersion is used in preparing high resilience polyurethane foam having desirable physical properties and which is of utility in a wide variety of cushioning applications. |Process for preparing a stable dispersion of a polymer in a polyol and its use in the production of high resilience polyurethane foam|A|26|0.0|0
6741|3246973|3684599|7192872|utility|2007-03-20|The present invention relates to a method of manufacturing semiconductor device with composite buffer layers. The method includes etching grooves in n type and p type semiconductor wafers respectively. The areas of grooves in n type wafer just correspond to the areas without grooves in p type wafer, and vice versa. The grooves in both n type and p type wafers have the same depth. Two wafers are directly bonded together so that the grooves in one wafer are filled with the grooves in the other wafer. Then, chemical bonding is implemented. The bonding may also be made through thin dielectric layer (e.g. SiO2). If necessary, grinding, polishing or chemical mechanical polishing processes are carried out to remove the redundant material. Thereby, it is easy to manufacture the semiconductor device with composite buffer layer as voltage sustaining layer.|Method of manufacturing semiconductor device having composite buffer layer|B2|15|0.0|0
10467|1183254|6290323|9812530|utility|2017-11-07|Thermal condensation is employed to obtain a finned structure including strained silicon germanium fins having vertical side walls and a germanium content that may be high relative to silicon. A hard mask is used directly on a low-germanium content silicon germanium layer. The hard mask is patterned and fins are formed beneath the hard mask from the silicon germanium layer. Thermal condensation in an oxidizing ambient causes the formation of regions beneath the hard mask that have a high germanium content. The hard mask is trimmed to a target critical dimension. The regions beneath the hard mask and adjoining oxide material are subjected to reactive ion etch, resulting in the formation of high-germanium content fins with planar, vertically extending sidewalls.|High germanium content silicon germanium fins|B2|15|0.0|0
6948|1467083|1904709|5401237|utility|1995-03-28| A method and an apparatus for an effective chemical treatment of a blood disease apply a drug of a wider range with a smaller dose or lower concentration to the blood outside the patient's body. Blood which is collected from a patient is fed through a tube (2a) into a chamber (4) by a pump (3). A drug is injected into the chamber (4) from a container (5), while ultrasonic waves are applied to the blood contained in the chamber (4) from an actuator (7). The blood treated with the drug and by the ultrasonic waves, is returned into the body of the patient through a tube (2c), while the same is monitored by sensors (10) and (11). |Blood processing for treating blood disease|A|24|0.0|0
5567|3259141|3696767|7205112|utility|2007-04-17|The invention provides polynucleotides and methods for detecting and quantifying RNA viruses, such as enteroviruses and noroviruses. In one aspect, the invention provides amplification primers and labeled molecular beacons for amplification of viral nucleic acid sequences. In another aspect, the invention provides a synthetic RNA internal control. In another aspect, the invention provides a kit for detecting the presence of enterovirus and/or norovirus in a sample.|Materials and methods for detection of enterovirus and norovirus|B2|14|0.0|0
